date,n,weekday,temperature,sunshinetime,precipitation,rainy_day,Feiertage,holiday,businessday
2013-08-02,3027,Fri,25.6,15.0,0.0,FALSE,NA,FALSE,FALSE
2013-08-03,2139,Sat,22.9,10.3,0.9,TRUE,NA,FALSE,FALSE
2013-08-04,2101,Sun,20.0,8.9,0.0,FALSE,NA,FALSE,TRUE
2013-08-05,3485,Mon,22.3,12.1,0.8,TRUE,NA,FALSE,TRUE
2013-08-06,3276,Tues,21.8,10.9,0.8,TRUE,NA,FALSE,TRUE
2013-08-07,3349,Wed,19.7,7.2,0.1,TRUE,NA,FALSE,TRUE
2013-08-08,3614,Thurs,19.6,0.4,0.2,TRUE,NA,FALSE,TRUE
2013-08-09,4218,Fri,18.3,10.9,0.0,FALSE,NA,FALSE,FALSE
2013-08-10,3156,Sat,18.5,5.0,4.5,TRUE,NA,FALSE,FALSE
2013-08-11,2710,Sun,16.3,5.3,1.7,TRUE,NA,FALSE,TRUE
2013-08-12,3033,Mon,16.2,6.4,0.0,FALSE,NA,FALSE,TRUE
2013-08-13,2936,Tues,16.0,7.9,0.4,TRUE,NA,FALSE,TRUE
2013-08-14,2607,Wed,17.0,9.2,0.0,FALSE,NA,FALSE,TRUE
2013-08-15,3199,Thurs,17.2,8.7,0.0,FALSE,NA,FALSE,TRUE
2013-08-16,3024,Fri,21.5,7.3,0.0,FALSE,NA,FALSE,FALSE
2013-08-17,2025,Sat,19.1,5.9,0.3,TRUE,NA,FALSE,FALSE
2013-08-18,1154,Sun,19.4,2.3,4.5,TRUE,NA,FALSE,TRUE
2013-08-19,2901,Mon,17.4,2.4,1.4,TRUE,NA,FALSE,TRUE
2013-08-20,3247,Tues,17.3,9.1,0.0,FALSE,NA,FALSE,TRUE
2013-08-21,3335,Wed,16.7,12.1,0.0,FALSE,NA,FALSE,TRUE
2013-08-22,3278,Thurs,18.1,6.6,0.0,FALSE,NA,FALSE,TRUE
2013-08-23,3147,Fri,18.2,10.7,0.0,FALSE,NA,FALSE,FALSE
2013-08-24,2333,Sat,17.4,12.8,0.0,FALSE,NA,FALSE,FALSE
2013-08-25,1937,Sun,18.5,12.5,0.0,FALSE,NA,FALSE,TRUE
2013-08-26,3356,Mon,17.7,13.1,0.0,FALSE,NA,FALSE,TRUE
2013-08-27,3396,Tues,16.8,8.0,0.0,FALSE,NA,FALSE,TRUE
2013-08-28,3217,Wed,16.9,10.8,0.0,FALSE,NA,FALSE,TRUE
2013-08-29,3256,Thurs,17.1,11.1,0.0,FALSE,NA,FALSE,TRUE
2013-08-30,3087,Fri,17.7,7.1,0.0,FALSE,NA,FALSE,FALSE
2013-08-31,1594,Sat,17.7,2.8,2.9,TRUE,NA,FALSE,FALSE
2013-09-01,1017,Sun,15.6,5.0,3.5,TRUE,NA,FALSE,TRUE
2013-09-02,1016,Mon,15.6,0.0,14.4,TRUE,NA,FALSE,TRUE
2013-09-03,2006,Tues,16.7,1.0,0.0,FALSE,NA,FALSE,TRUE
2013-09-04,2889,Wed,16.2,6.3,0.0,FALSE,NA,FALSE,TRUE
2013-09-05,3209,Thurs,18.2,12.4,0.0,FALSE,NA,FALSE,TRUE
2013-09-06,3001,Fri,19.7,12.8,0.0,FALSE,NA,FALSE,FALSE
2013-09-07,2244,Sat,19.5,11.4,0.0,FALSE,NA,FALSE,FALSE
2013-09-08,1365,Sun,18.6,4.0,15.4,TRUE,NA,FALSE,TRUE
2013-09-09,982,Mon,13.6,0.0,18.3,TRUE,NA,FALSE,TRUE
2013-09-10,1861,Tues,12.5,2.5,1.8,TRUE,NA,FALSE,TRUE
2013-09-11,2024,Wed,13.4,0.5,0.0,FALSE,NA,FALSE,TRUE
2013-09-12,2663,Thurs,14.3,12.1,0.0,FALSE,NA,FALSE,TRUE
2013-09-13,2603,Fri,14.3,9.9,0.0,FALSE,NA,FALSE,FALSE
2013-09-14,1888,Sat,15.8,8.5,1.9,TRUE,NA,FALSE,FALSE
2013-09-15,1174,Sun,14.9,3.7,1.2,TRUE,NA,FALSE,TRUE
2013-09-16,1578,Mon,12.7,4.0,0.6,TRUE,NA,FALSE,TRUE
2013-09-17,2405,Tues,11.2,7.9,1.4,TRUE,NA,FALSE,TRUE
2013-09-18,1372,Wed,9.6,0.1,4.4,TRUE,NA,FALSE,TRUE
2013-09-19,1850,Thurs,11.1,4.5,10.5,TRUE,NA,FALSE,TRUE
2013-09-20,1681,Fri,11.6,0.0,0.1,TRUE,NA,FALSE,FALSE
2013-09-21,1499,Sat,14.0,4.2,0.0,FALSE,NA,FALSE,FALSE
2013-09-22,943,Sun,15.4,4.4,0.0,FALSE,NA,FALSE,TRUE
2013-09-23,1897,Mon,15.5,0.0,0.2,TRUE,NA,FALSE,TRUE
2013-09-24,2177,Tues,14.0,1.2,0.0,FALSE,NA,FALSE,TRUE
2013-09-25,2085,Wed,10.9,0.7,9.7,TRUE,NA,FALSE,TRUE
2013-09-26,1918,Thurs,11.1,8.5,1.8,TRUE,NA,FALSE,TRUE
2013-09-27,1815,Fri,12.1,2.6,1.1,TRUE,NA,FALSE,FALSE
2013-09-28,1519,Sat,10.6,10.3,0.0,FALSE,NA,FALSE,FALSE
2013-09-29,1358,Sun,10.6,9.4,0.0,FALSE,NA,FALSE,TRUE
2013-09-30,2327,Mon,10.1,10.2,0.0,FALSE,NA,FALSE,TRUE
2013-10-01,2378,Tues,10.4,10.1,0.0,FALSE,NA,FALSE,TRUE
2013-10-02,2193,Wed,9.2,10.4,0.0,FALSE,NA,FALSE,TRUE
2013-10-03,1108,Thurs,8.0,10.3,0.0,FALSE,Tag der Deutschen Einheit,TRUE,FALSE
2013-10-04,1499,Fri,9.7,7.4,0.3,TRUE,NA,FALSE,FALSE
2013-10-05,1092,Sat,12.5,NA,0.0,FALSE,NA,FALSE,FALSE
2013-10-06,1342,Sun,13.1,7.0,0.0,FALSE,NA,FALSE,TRUE
2013-10-07,2383,Mon,12.8,9.0,0.0,FALSE,NA,FALSE,TRUE
2013-10-08,2531,Tues,12.4,1.6,0.1,TRUE,NA,FALSE,TRUE
2013-10-09,1823,Wed,13.7,1.4,0.8,TRUE,NA,FALSE,TRUE
2013-10-10,1662,Thurs,10.7,0.0,0.9,TRUE,NA,FALSE,TRUE
2013-10-11,1691,Fri,13.6,3.7,0.0,FALSE,NA,FALSE,FALSE
2013-10-12,830,Sat,13.1,0.0,9.1,TRUE,NA,FALSE,FALSE
2013-10-13,819,Sun,10.2,1.7,0.0,FALSE,NA,FALSE,TRUE
2013-10-14,2068,Mon,10.2,7.5,0.0,FALSE,NA,FALSE,TRUE
2013-10-15,1341,Tues,10.1,0.2,11.2,TRUE,NA,FALSE,TRUE
2013-10-16,1843,Wed,9.7,3.3,0.1,TRUE,NA,FALSE,TRUE
2013-10-17,1177,Thurs,11.0,0.7,7.6,TRUE,NA,FALSE,TRUE
2013-10-18,1510,Fri,9.0,5.6,0.0,FALSE,NA,FALSE,FALSE
2013-10-19,1095,Sat,7.1,0.6,2.5,TRUE,NA,FALSE,FALSE
2013-10-20,915,Sun,14.2,1.2,10.6,TRUE,NA,FALSE,TRUE
2013-10-21,1708,Mon,13.8,4.3,0.1,TRUE,NA,FALSE,TRUE
2013-10-22,2502,Tues,16.1,7.4,0.1,TRUE,NA,FALSE,TRUE
2013-10-23,2204,Wed,16.5,0.4,0.0,FALSE,NA,FALSE,TRUE
2013-10-24,2242,Thurs,12.2,8.1,0.0,FALSE,NA,FALSE,TRUE
